date,calls
2016-09-18,323
2016-09-19,479
2016-09-20,458
2016-09-21,385
2016-09-22,384
2016-09-23,367
2016-09-24,330
2016-09-25,315
2016-09-26,456
2016-09-27,436
2016-09-28,410
2016-09-29,416
2016-09-30,395
2016-10-01,313
2016-10-02,288
2016-10-03,493
2016-10-04,442
2016-10-05,418
2016-10-06,410
2016-10-07,393
2016-10-08,332
2016-10-09,378
2016-10-10,512
2016-10-11,376
2016-10-12,450
2016-10-13,577
2016-10-14,472
2016-10-15,367
2016-10-16,334
2016-10-17,545
2016-10-18,431
2016-10-19,539
2016-10-20,471
2016-10-21,485
2016-10-22,419
2016-10-23,396
2016-10-24,555
2016-10-25,445
2016-10-26,500
2016-10-27,463
2016-10-28,500
2016-10-29,354
2016-10-30,345
2016-10-31,475
2016-11-01,480
2016-11-02,397
2016-11-03,542
2016-11-04,456
2016-11-05,315
2016-11-06,286
2016-11-07,545
2016-11-08,410
2016-11-09,489
2016-11-10,406
2016-11-11,480
2016-11-12,357
2016-11-13,318
2016-11-14,448
2016-11-15,436
2016-11-16,488
2016-11-17,405
2016-11-18,388
2016-11-19,307
2016-11-20,371
2016-11-21,529
2016-11-22,486
2016-11-23,392
2016-11-24,419
2016-11-25,455
2016-11-26,382
2016-11-27,363
2016-11-28,489
2016-11-29,427
2016-11-30,451
2016-12-01,383
2016-12-02,328
2016-12-03,350
2016-12-04,364
2016-12-05,495
2016-12-06,397
2016-12-07,424
2016-12-08,432
2016-12-09,428
2016-12-10,411
2016-12-11,348
2016-12-12,461
2016-12-13,455
2016-12-14,441
2016-12-15,441
2016-12-16,416
2016-12-17,356
2016-12-18,347
2016-12-19,492
2016-12-20,465
2016-12-21,457
2016-12-22,488
2016-12-23,418
2016-12-24,356
2016-12-25,350
2016-12-26,462
2016-12-27,432
2016-12-28,432
2016-12-29,460
2016-12-30,430
2016-12-31,286
2017-01-01,334
2017-01-02,503
2017-01-03,460
2017-01-04,501
2017-01-05,478
2017-01-06,489
2017-01-07,386
2017-01-08,408
2017-01-09,505
2017-01-10,480
2017-01-11,454
2017-01-12,489
2017-01-13,466
2017-01-14,370
2017-01-15,367
2017-01-16,512
2017-01-17,469
2017-01-18,478
2017-01-19,484
2017-01-20,479
2017-01-21,344
2017-01-22,323
2017-01-23,506
2017-01-24,474
2017-01-25,432
2017-01-26,491
2017-01-27,517
2017-01-28,402
2017-01-29,373
2017-01-30,564
2017-01-31,462
2017-02-01,405
2017-02-02,448
2017-02-03,415
2017-02-04,378
2017-02-05,372
2017-02-06,469
2017-02-07,436
2017-02-08,451
2017-02-09,442
2017-02-10,408
2017-02-11,376
2017-02-12,389
2017-02-13,506
2017-02-14,442
2017-02-15,448
2017-02-16,470
2017-02-17,475
2017-02-18,446
2017-02-19,456
2017-02-20,513
2017-02-21,455
2017-02-22,417
